provider,job_id,n,observable,ideal,expectation_value,std,absolute_error
IBM default,d8qvms6gbcrc73f3v89g,20,XXXXXXXXXXXXXXXXXXXX,1.0,0.08407531747190192,0.016225241197185398,0.9159246825280981
IBM default,d8qvms6gbcrc73f3v89g,20,Z0Z1,1.0,0.9761992847453447,0.002987413944066651,0.023800715254655325
IBM default,d8qvms6gbcrc73f3v89g,20,Z1Z2,1.0,0.9675897181174717,0.004485046984624108,0.03241028188252826
IBM default,d8qvms6gbcrc73f3v89g,20,Z2Z3,1.0,0.9795204795204795,0.0049428770919846925,0.020479520479520508
IBM default,d8qvms6gbcrc73f3v89g,20,Z3Z4,1.0,0.9714820592823713,0.004894163790312503,0.028517940717628698
IBM default,d8qvms6gbcrc73f3v89g,20,Z4Z5,1.0,0.9804213135068154,0.0033069443947807637,0.019578686493184616
IBM default,d8qvms6gbcrc73f3v89g,20,Z5Z6,1.0,0.9621976118294872,0.00462130945577672,0.037802388170512846
IBM default,d8qvms6gbcrc73f3v89g,20,Z6Z7,1.0,0.9750527491622192,0.0036978252026403473,0.02494725083778082
IBM default,d8qvms6gbcrc73f3v89g,20,Z7Z8,1.0,0.9583927574874435,0.004357436589100896,0.04160724251255654
IBM default,d8qvms6gbcrc73f3v89g,20,Z8Z9,1.0,0.9727369143427538,0.004732478083315661,0.027263085657246222
IBM default,d8qvms6gbcrc73f3v89g,20,Z9Z10,1.0,0.9606790662838597,0.005299842545170536,0.039320933716140316
IBM default,d8qvms6gbcrc73f3v89g,20,Z10Z11,1.0,0.9808123598305507,0.004371558525372832,0.019187640169449294
IBM default,d8qvms6gbcrc73f3v89g,20,Z11Z12,1.0,0.9731280004987842,0.005183992914758324,0.02687199950121577
IBM default,d8qvms6gbcrc73f3v89g,20,Z12Z13,1.0,0.9782568295855789,0.0037234538579255837,0.021743170414421087
IBM default,d8qvms6gbcrc73f3v89g,20,Z13Z14,1.0,0.9292250233426704,0.005916018912307087,0.07077497665732957
IBM default,d8qvms6gbcrc73f3v89g,20,Z14Z15,1.0,0.9440715883668904,0.0062341008543749365,0.055928411633109576
IBM default,d8qvms6gbcrc73f3v89g,20,Z15Z16,1.0,0.9614456340120057,0.005690244711254475,0.03855436598799433
IBM default,d8qvms6gbcrc73f3v89g,20,Z16Z17,1.0,0.9706321553011449,0.00622546717062219,0.029367844698855117
IBM default,d8qvms6gbcrc73f3v89g,20,Z17Z18,1.0,0.9652941908197537,0.005583341142699097,0.03470580918024635
IBM default,d8qvms6gbcrc73f3v89g,20,Z18Z19,1.0,0.9709946470807918,0.004840952449242545,0.02900535291920825
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,XXXXXXXXXXXXXXXXXXXX,1.0,0.652,0.758218965734833,0.348
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z0Z1,1.0,0.9716,0.2366293303882677,0.02839999999999998
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z1Z2,1.0,0.9386,0.3450073042705039,0.06140000000000001
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z2Z3,1.0,0.9622,0.2723438268072179,0.037799999999999945
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z3Z4,1.0,0.9598,0.280684805431288,0.040200000000000014
Q-CTRL,e58d4f4a-0560-4438-ad2c-407532b445fa,20,Z4Z5,1.0,0.9726,0.2324849242424119,0.02739999999999998
