provider,job_id,n,observable,ideal,expectation_value,std,absolute_error,observable_type
IBM default,d8qvms6gbcrc73f3v89g,20,XXXXXXXXXXXXXXXXXXXX,1.0,0.0840753174719019,0.0162252411971853,0.915924682528098,Global X
IBM default,d8qvms6gbcrc73f3v89g,20,Z0Z1,1.0,0.9761992847453448,0.0029874139440666,0.0238007152546553,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z1Z2,1.0,0.9675897181174716,0.0044850469846241,0.0324102818825282,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z2Z3,1.0,0.9795204795204796,0.0049428770919846,0.0204795204795205,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z3Z4,1.0,0.9714820592823712,0.0048941637903125,0.0285179407176286,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z4Z5,1.0,0.9804213135068154,0.0033069443947807,0.0195786864931846,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z5Z6,1.0,0.9621976118294872,0.0046213094557767,0.0378023881705128,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z6Z7,1.0,0.9750527491622192,0.0036978252026403,0.0249472508377808,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z7Z8,1.0,0.9583927574874436,0.0043574365891008,0.0416072425125565,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z8Z9,1.0,0.9727369143427538,0.0047324780833156,0.0272630856572462,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z9Z10,1.0,0.9606790662838596,0.0052998425451705,0.0393209337161403,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z10Z11,1.0,0.9808123598305508,0.0043715585253728,0.0191876401694492,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z11Z12,1.0,0.9731280004987842,0.0051839929147583,0.0268719995012157,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z12Z13,1.0,0.9782568295855788,0.0037234538579255,0.021743170414421,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z13Z14,1.0,0.9292250233426704,0.005916018912307,0.0707749766573295,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z14Z15,1.0,0.9440715883668904,0.0062341008543749,0.0559284116331095,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z15Z16,1.0,0.9614456340120056,0.0056902447112544,0.0385543659879943,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z16Z17,1.0,0.9706321553011448,0.0062254671706221,0.0293678446988551,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z17Z18,1.0,0.9652941908197537,0.005583341142699,0.0347058091802463,Neighbor ZZ
IBM default,d8qvms6gbcrc73f3v89g,20,Z18Z19,1.0,0.9709946470807918,0.0048409524492425,0.0290053529192082,Neighbor ZZ
