provider,n,mean_absolute_error,max_absolute_error,mean_std
IBM default,20,0.07688961497058408,0.9159246825280981,0.005365985490875767
IBM default,40,0.06171852623942531,0.8355195832170434,0.00568445566505874
IBM default,60,0.05707127382497919,0.7574746210540955,0.006363827636221911
IBM default,80,0.0755273149390934,1.0362116991643453,0.006892890672919113
Q-CTRL,20,0.05289000000000001,0.348,0.29019512483889554
Q-CTRL,40,0.06658,0.6836,0.3235259185297917
Q-CTRL,60,0.08003999999999999,0.861,0.3622388720095777
Q-CTRL,80,0.1257425,1.4304000000000001,0.42482672536128485
QESEM,20,0.01851152964497933,0.13216107287632273,0.019872155174776213
QESEM,40,0.02096225539259588,0.18204209097293855,0.026134926034171484
