provider,n,observable_type,count,mean_absolute_error,median_absolute_error,max_absolute_error,mean_expectation_value,mean_std
IBM default,20,Global X,1,0.915924682528098,0.915924682528098,0.915924682528098,0.0840753174719019,0.0162252411971853
IBM default,20,Neighbor ZZ,19,0.03272987457282014,0.0290053529192082,0.0707749766573295,0.9672701254271798,0.004794445716859416
IBM default,40,Global X,1,0.8355195832170434,0.8355195832170434,0.8355195832170434,0.1644804167829565,0.019757014842246
IBM default,40,Neighbor ZZ,39,0.04187747349640942,0.0347890451517394,0.3161616161616162,0.9581225265035905,0.00532362081436157
IBM default,60,Global X,1,0.7574746210540955,0.7574746210540955,0.7574746210540955,0.2425253789459046,0.0322616576770898
IBM default,60,Neighbor ZZ,59,0.04520003065160429,0.0420761868054216,0.0905137603280114,0.9551869464566981,0.005924881364342746
IBM default,80,Global X,1,1.0362116991643453,1.0362116991643453,1.0362116991643453,-0.0362116991643454,0.0457075440390525
IBM default,80,Neighbor ZZ,79,0.06336675311345726,0.0525049084805877,0.2719852050251897,0.9366332468865426,0.006401565946765474
Q-CTRL,20,Global X,1,0.348,0.348,0.348,0.652,0.758218965734833
Q-CTRL,20,Neighbor ZZ,19,0.037357894736842076,0.035,0.0794,0.9626421052631579,0.2655622911075304
Q-CTRL,40,Global X,1,0.6836,0.6836,0.6836,0.3164,0.9486258693499772
Q-CTRL,40,Neighbor ZZ,39,0.050758974358974314,0.0443999999999999,0.1121999999999999,0.9492410256410257,0.3074977146626074
Q-CTRL,60,Global X,1,0.861,0.861,0.861,0.139,0.990292381067329
Q-CTRL,60,Neighbor ZZ,59,0.06680338983050842,0.0644,0.1321999999999999,0.9331966101694915,0.3515938972797853
Q-CTRL,80,Global X,1,0.9962,0.9962,0.9962,0.0038,0.9999927799739357
Q-CTRL,80,Neighbor ZZ,79,0.11472405063291134,0.0819999999999999,1.4304,0.8852759493670886,0.41754614239150445
QESEM,20,Global X,1,0.1321610728763227,0.1321610728763227,0.1321610728763227,0.8678389271236773,0.0822084797035729
QESEM,20,Neighbor ZZ,19,0.012529974738066474,0.012560640787562,0.0316550464674281,0.9996539146194046,0.01659129598905001
QESEM,40,Global X,1,0.1820420909729385,0.1820420909729385,0.1820420909729385,1.1820420909729386,0.2496533416386982
QESEM,40,Neighbor ZZ,39,0.016832003198228074,0.012252383620507,0.0541766999457233,1.0070513389217377,0.020403684608414345
