provider,n,count,mean_absolute_error,median_absolute_error,max_absolute_error,mean_expectation_value,mean_std
IBM default,20,20,0.07688961497058402,0.02918659880903165,0.915924682528098,0.923110385029416,0.00536598549087571
IBM default,40,40,0.061718526239425274,0.0349899211781333,0.8355195832170434,0.9382814737605747,0.00568445566505868
IBM default,60,60,0.05707127382497914,0.04227840348023015,0.7574746210540955,0.9433092536648516,0.006363827636221864
IBM default,80,80,0.07552731493909334,0.0526404766981853,1.0362116991643453,0.9244726850609066,0.006892890672919062
Q-CTRL,20,20,0.05288999999999997,0.035199999999999954,0.348,0.94711,0.29019512483889554
Q-CTRL,40,40,0.06657999999999996,0.0444999999999999,0.6836,0.9334199999999999,0.3235259185297916
Q-CTRL,60,60,0.08003999999999994,0.06609999999999995,0.861,0.91996,0.36223887200957766
Q-CTRL,80,80,0.12574249999999995,0.08309999999999995,1.4304,0.8742575,0.42482672536128485
QESEM,20,20,0.018511529644979284,0.0127721215070675,0.1321610728763227,0.9930631652446182,0.019872155174776154
QESEM,40,40,0.020962255392595837,0.01260995817511395,0.1820420909729385,1.0114261077230178,0.02613492603417144
