provider,n,observable,expectation_value,std,ideal,absolute_error,closeness_percent,observable_label
IBM TREX + twirling,25,MX_full,0.5668679,0.001733,0.6606342,0.09376629,95.3116855,X
IBM raw,25,MX_full,0.4927759,0.00095,0.6606342,0.1678583,91.607085,X
Q-CTRL,25,MX_full,0.6262842,0.155716,0.6606342,0.03435003,98.2824985,X
QESEM,25,MX_full,0.6798874,0.021303,0.6606342,0.01925318,99.037341,X
IBM TREX + twirling,50,MX_full,0.5559542,0.001107,0.6519781,0.09602386,95.198807,X
IBM raw,50,MX_full,0.5061536,0.000669,0.6519781,0.1458245,92.708775,X
Q-CTRL,50,MX_full,0.6100854,0.111941,0.6519781,0.0418926,97.90537,X
QESEM,50,MX_full,0.6148756,0.017169,0.6519781,0.03710244,98.144878,X
IBM TREX + twirling,75,MX_full,0.5310911,0.001008,0.6490927,0.1180015,94.099925,X
IBM raw,75,MX_full,0.5176994,0.000542,0.6490927,0.1313933,93.430335,X
Q-CTRL,75,MX_full,0.6126652,0.091156,0.6490927,0.03642746,98.17862699999999,X
QESEM,75,MX_full,0.621976,0.025745,0.6490927,0.02711666,98.64416700000001,X
IBM TREX + twirling,25,ZZ_full,0.3405556,0.001915,0.3886767,0.04812114,97.59394300000001,ZZ
IBM raw,25,ZZ_full,0.391861,0.001031,0.3886767,0.003184222,99.84078889999999,ZZ
Q-CTRL,25,ZZ_full,0.3672434,0.189763,0.3886767,0.02143329,98.9283355,ZZ
QESEM,25,ZZ_full,0.3959704,0.017828,0.3886767,0.007293621,99.63531895,ZZ
IBM TREX + twirling,50,ZZ_full,0.3347108,0.001276,0.3909887,0.0562779,97.186105,ZZ
IBM raw,50,ZZ_full,0.372429,0.000729,0.3909887,0.01855969,99.07201549999999,ZZ
Q-CTRL,50,ZZ_full,0.3744955,0.132413,0.3909887,0.01649321,99.1753395,ZZ
QESEM,50,ZZ_full,0.4045955,0.013295,0.3909887,0.01360673,99.3196635,ZZ
IBM TREX + twirling,75,ZZ_full,0.3198963,0.000974,0.3917386,0.0718423,96.40788500000001,ZZ
IBM raw,75,ZZ_full,0.3289284,0.000605,0.3917386,0.06281022,96.859489,ZZ
Q-CTRL,75,ZZ_full,0.3714154,0.107897,0.3917386,0.02032315,98.9838425,ZZ
QESEM,75,ZZ_full,0.3834356,0.021601,0.3917386,0.008303002,99.58484990000001,ZZ
