provider,algorithm,n,success_probability,success_rate_percent
IBM measurement twirling,BV,25,0.554657,55.4657
IBM raw,BV,25,0.536896,53.689600000000006
Q-CTRL,BV,25,0.79776,79.776
IBM measurement twirling,BV,50,0.085602,8.5602
IBM raw,BV,50,0.099121,9.9121
Q-CTRL,BV,50,0.391998,39.1998
IBM measurement twirling,BV,75,0.02829,2.8289999999999997
IBM raw,BV,75,0.032776,3.2776
Q-CTRL,BV,75,0.351135,35.113499999999995
IBM measurement twirling,GHZ,25,0.651489,65.1489
IBM raw,GHZ,25,0.659119,65.9119
Q-CTRL,GHZ,25,0.744751,74.47510000000001
IBM measurement twirling,GHZ,50,0.350006,35.0006
IBM raw,GHZ,50,0.387878,38.7878
Q-CTRL,GHZ,50,0.456512,45.651199999999996
IBM measurement twirling,QPE,10,0.64215087890625,64.215087890625
IBM raw,QPE,10,0.654693603515625,65.4693603515625
Q-CTRL,QPE,10,0.779907,77.9907
IBM measurement twirling,QPE,20,9.2e-05,0.0092
IBM raw,QPE,20,0.000366,0.0366
Q-CTRL,QPE,20,0.376251,37.6251
IBM measurement twirling,QPE,30,0.0,0.0
IBM raw,QPE,30,0.0,0.0
Q-CTRL,QPE,30,0.126862,12.6862
IBM measurement twirling,RND,25,0.616058,61.6058
IBM raw,RND,25,0.635193,63.5193
Q-CTRL,RND,25,0.934753,93.47529999999999
IBM measurement twirling,RND,50,0.292938,29.293799999999997
IBM raw,RND,50,0.299988,29.9988
Q-CTRL,RND,50,0.87851,87.851
IBM measurement twirling,RND,75,0.161835,16.183500000000002
IBM raw,RND,75,0.179626,17.962600000000002
Q-CTRL,RND,75,0.841248,84.1248
IBM measurement twirling,RND,100,0.082642,8.264199999999999
IBM raw,RND,100,0.09137,9.137
Q-CTRL,RND,100,0.764526,76.4526
