provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error
IBM raw,d8s47u6ab0ds73dsbq4g,12.365719463,usage_estimation.quantum_seconds,20,MZ_probe,-0.081275,0.0035146829782357327,7.244207001162985e-14,0.08127500000007244
IBM raw,d8s47u6ab0ds73dsbq4g,12.365719463,usage_estimation.quantum_seconds,20,MX_probe,0.6444500000000001,0.0026898485087454276,0.6976613207346455,0.053211320734645406
IBM raw,d8s47u6ab0ds73dsbq4g,12.365719463,usage_estimation.quantum_seconds,20,ZZ_probe,0.467,0.0031253347020759235,0.4979232472047522,0.030923247204752147
IBM TREX + twirling,d8s4ova01fac73d51on0,17.324909417,usage_estimation.quantum_seconds,20,MZ_probe,-0.001432072614164606,0.00606966372129001,7.244207001162985e-14,0.001432072614237048
IBM TREX + twirling,d8s4ova01fac73d51on0,17.324909417,usage_estimation.quantum_seconds,20,MX_probe,0.6674901958227923,0.0027189462935278724,0.6976613207346455,0.030171124911853142
IBM TREX + twirling,d8s4ova01fac73d51on0,17.324909417,usage_estimation.quantum_seconds,20,ZZ_probe,0.4687610124924705,0.0033081859672866405,0.4979232472047522,0.029162234712281687
Q-CTRL,9b5a3e56-b669-48a9-bd7d-fbf1fcc8f450,,unavailable,20,MZ_probe,9.99999999999994e-05,0.3533736567006658,7.244207001162985e-14,9.999999992755733e-05
Q-CTRL,9b5a3e56-b669-48a9-bd7d-fbf1fcc8f450,,unavailable,20,MX_probe,0.6875,0.25573336944951086,0.6976613207346455,0.010161320734645485
Q-CTRL,9b5a3e56-b669-48a9-bd7d-fbf1fcc8f450,,unavailable,20,ZZ_probe,0.476,0.3108559875569393,0.4979232472047522,0.021923247204752194
QESEM,3e465984-7894-4689-a472-2982872b9eac,,unavailable,20,MZ_probe,-0.00043111160784009165,0.00552498535419716,7.244207001162985e-14,0.0004311116079125337
QESEM,3e465984-7894-4689-a472-2982872b9eac,,unavailable,20,MX_probe,0.7074710859643591,0.025053668542778955,0.6976613207346455,0.009809765229713663
QESEM,3e465984-7894-4689-a472-2982872b9eac,,unavailable,20,ZZ_probe,0.4985146018391669,0.019801478673391062,0.4979232472047522,0.0005913546344147314
IBM raw,d8sdbcmkodhs7385eahg,12.365719463,usage_estimation.quantum_seconds,40,MZ_probe,-0.0066250000000000015,0.0035338498040380834,1.3255644059463833e-13,0.006625000000132558
IBM raw,d8sdbcmkodhs7385eahg,12.365719463,usage_estimation.quantum_seconds,40,MX_probe,0.655,0.002659064050563656,0.6976613207457317,0.0426613207457317
IBM raw,d8sdbcmkodhs7385eahg,12.365719463,usage_estimation.quantum_seconds,40,ZZ_probe,0.46725,0.003124399182242884,0.4979232472047479,0.0306732472047479
IBM TREX + twirling,d8sdopa01fac73d5ca8g,17.324909417,usage_estimation.quantum_seconds,40,MZ_probe,0.003530781399000465,0.004711530377479834,1.3255644059463833e-13,0.0035307813988679085
IBM TREX + twirling,d8sdopa01fac73d5ca8g,17.324909417,usage_estimation.quantum_seconds,40,MX_probe,0.6706698658319398,0.00296621118378295,0.6976613207457317,0.026991454913791957
IBM TREX + twirling,d8sdopa01fac73d5ca8g,17.324909417,usage_estimation.quantum_seconds,40,ZZ_probe,0.4675032390250254,0.0035318468879653926,0.4979232472047479,0.030420008179722513
Q-CTRL,7d2ed44f-6934-4326-8087-e58d95cdf600,,unavailable,40,MZ_probe,-0.003725,0.35344277029669174,1.3255644059463833e-13,0.0037250000001325563
Q-CTRL,7d2ed44f-6934-4326-8087-e58d95cdf600,,unavailable,40,MX_probe,0.6859000000000001,0.25640879713847575,0.6976613207457317,0.011761320745731663
Q-CTRL,7d2ed44f-6934-4326-8087-e58d95cdf600,,unavailable,40,ZZ_probe,0.47609999999999997,0.310794481932997,0.4979232472047479,0.02182324720474793
QESEM,665229b6-ebcf-4027-a0c0-07f4298be76a,,unavailable,40,MZ_probe,-0.0027956199062170273,0.0016253069875016707,1.3255644059463833e-13,0.0027956199063495835
QESEM,665229b6-ebcf-4027-a0c0-07f4298be76a,,unavailable,40,MX_probe,0.6948077442919364,0.005571837889708599,0.6976613207457317,0.002853576453795359
QESEM,665229b6-ebcf-4027-a0c0-07f4298be76a,,unavailable,40,ZZ_probe,0.49812544244985535,0.004686633420908364,0.4979232472047479,0.00020219524510745046
IBM raw,d8seq9sbp3hs73830o90,12.365719463,usage_estimation.quantum_seconds,60,MZ_probe,-0.020475,0.0035316470927175044,7.495880667373303e-14,0.020475000000074958
IBM raw,d8seq9sbp3hs73830o90,12.365719463,usage_estimation.quantum_seconds,60,MX_probe,0.655625,0.002660631727146769,0.6976613207346548,0.0420363207346548
IBM raw,d8seq9sbp3hs73830o90,12.365719463,usage_estimation.quantum_seconds,60,ZZ_probe,0.464875,0.0031292027638841176,0.49792324720474335,0.033048247204743364
IBM TREX + twirling,d8serhktqbtc73curps0,17.324909417,usage_estimation.quantum_seconds,60,MZ_probe,-0.00018180076448055013,0.005319740932627305,7.495880667373303e-14,0.00018180076455550894
IBM TREX + twirling,d8serhktqbtc73curps0,17.324909417,usage_estimation.quantum_seconds,60,MX_probe,0.6633353030641447,0.0028874472905425566,0.6976613207346548,0.034326017670510134
IBM TREX + twirling,d8serhktqbtc73curps0,17.324909417,usage_estimation.quantum_seconds,60,ZZ_probe,0.46863256475072135,0.0033312743186309415,0.49792324720474335,0.029290682454022
Q-CTRL,e6890fb9-566d-4f4e-be9b-ea9a6a5f9e86,,unavailable,60,MZ_probe,-0.015525,0.35327069383830867,7.495880667373303e-14,0.01552500000007496
Q-CTRL,e6890fb9-566d-4f4e-be9b-ea9a6a5f9e86,,unavailable,60,MX_probe,0.6835749999999999,0.25682218921853306,0.6976613207346548,0.014086320734654878
Q-CTRL,e6890fb9-566d-4f4e-be9b-ea9a6a5f9e86,,unavailable,60,ZZ_probe,0.47272500000000006,0.3114875569344625,0.49792324720474335,0.025198247204743285
QESEM,93ac77b4-4fe6-47bd-b257-b9444355e6b0,,unavailable,60,MZ_probe,0.004959759713490227,0.0026647969369164737,7.495880667373303e-14,0.004959759713415268
