provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error
IBM raw,d8vmvpemvj5c73ei5140,19.196572924,usage_estimation.quantum_seconds,25,MZ_full,-0.15408203125000003,0.0010871865607123081,3.145929292414297e-10,0.15408203156459296
IBM raw,d8vmvpemvj5c73ei5140,19.196572924,usage_estimation.quantum_seconds,25,MX_full,0.45764892578125,0.0009672803664926826,0.6989829584985926,0.2413340327173426
IBM raw,d8vmvpemvj5c73ei5140,19.196572924,usage_estimation.quantum_seconds,25,ZZ_full,0.3244450887044271,0.0010648174472158679,0.3514787830147538,0.027033694310326706
IBM TREX + twirling,d8vnrm6mvj5c73ei6jt0,40.938802727,usage_estimation.quantum_seconds,25,MZ_full,0.002414938649035946,0.003103353730588795,3.145929292414297e-10,0.0024149383344430164
IBM TREX + twirling,d8vnrm6mvj5c73ei6jt0,40.938802727,usage_estimation.quantum_seconds,25,MX_full,0.527484006826536,0.0014705201214240903,0.6989829584985926,0.17149895167205664
IBM TREX + twirling,d8vnrm6mvj5c73ei6jt0,40.938802727,usage_estimation.quantum_seconds,25,ZZ_full,0.28877130513426214,0.0018022463197471042,0.3514787830147538,0.06270747788049169
Q-CTRL,3a92da7c-e583-4ab4-a207-7ef261f91961,,unavailable,25,MZ_full,-0.0872802734375,0.19716532018733257,3.145929292414297e-10,0.08728027375209294
Q-CTRL,3a92da7c-e583-4ab4-a207-7ef261f91961,,unavailable,25,MX_full,0.62442626953125,0.1560862822364404,0.6989829584985926,0.07455668896734258
Q-CTRL,3a92da7c-e583-4ab4-a207-7ef261f91961,,unavailable,25,ZZ_full,0.3442891438802083,0.1915699543317942,0.3514787830147538,0.007189639134545511
IBM raw,d8vq2qo6c68s73ah66f0,19.196572924,usage_estimation.quantum_seconds,50,MZ_full,-0.0199658203125,0.0007777238144711535,4.0411257924535995e-10,0.01996582071661258
IBM raw,d8vq2qo6c68s73ah66f0,19.196572924,usage_estimation.quantum_seconds,50,MX_full,0.4992578125000001,0.0006739795536555303,0.6919327493446972,0.19267493684469705
