provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error
IBM raw,d8vmvpemvj5c73ei5140,19.19657292,usage_estimation.quantum_seconds,25,MX_full,0.457648926,0.00096728,0.698982958,0.241334033
IBM raw,d8vmvpemvj5c73ei5140,19.19657292,usage_estimation.quantum_seconds,25,ZZ_full,0.324445089,0.001064817,0.351478783,0.027033694
IBM TREX + twirling,d8vnrm6mvj5c73ei6jt0,40.93880273,usage_estimation.quantum_seconds,25,MX_full,0.527484007,0.00147052,0.698982958,0.171498952
IBM TREX + twirling,d8vnrm6mvj5c73ei6jt0,40.93880273,usage_estimation.quantum_seconds,25,ZZ_full,0.288771305,0.001802246,0.351478783,0.062707478
Q-CTRL,3a92da7c-e583-4ab4-a207-7ef261f91961,28,unavailable,25,MX_full,0.62442627,0.156086282,0.698982958,0.074556689
Q-CTRL,3a92da7c-e583-4ab4-a207-7ef261f91961,28,unavailable,25,ZZ_full,0.344289144,0.191569954,0.351478783,0.007189639
IBM raw,d8vq2qo6c68s73ah66f0,19.19657292,usage_estimation.quantum_seconds,50,MX_full,0.499257813,0.00067398,0.691932749,0.192674937
IBM raw,d8vq2qo6c68s73ah66f0,19.19657292,usage_estimation.quantum_seconds,50,ZZ_full,0.31101149,0.000748398,0.352365375,0.041353885
IBM TREX + twirling,d8vr5ggpknjs73a1h7og,40.93880273,usage_estimation.quantum_seconds,50,MX_full,0.493656865,0.001059297,0.691932749,0.198275884
IBM TREX + twirling,d8vr5ggpknjs73a1h7og,40.93880273,usage_estimation.quantum_seconds,50,ZZ_full,0.273558047,0.001239519,0.352365375,0.078807328
Q-CTRL,98a979a2-53bc-4c47-8dcb-3068c66a7d5f,28,unavailable,50,MX_full,0.616296387,0.111284373,0.691932749,0.075636363
Q-CTRL,98a979a2-53bc-4c47-8dcb-3068c66a7d5f,28,unavailable,50,ZZ_full,0.346925074,0.133913986,0.352365375,0.005440301
IBM raw,d8vtd406c68s73ahb2fg,19.19657292,usage_estimation.quantum_seconds,75,MX_full,0.466359049,0.000562219,0.68958268,0.22322363
IBM raw,d8vtd406c68s73ahb2fg,19.19657292,usage_estimation.quantum_seconds,75,ZZ_full,0.301261283,0.000611624,0.352652918,0.051391634
IBM TREX + twirling,d8vtocopknjs73a1l2og,40.93880273,usage_estimation.quantum_seconds,75,MX_full,0.470264974,0.00091205,0.68958268,0.219317706
IBM TREX + twirling,d8vtocopknjs73a1l2og,40.93880273,usage_estimation.quantum_seconds,75,ZZ_full,0.262852855,0.000894482,0.352652918,0.089800062
Q-CTRL,aa62ab44-d7d3-4e61-8408-c76593295f23,28,unavailable,75,MX_full,0.607753092,0.09161175,0.68958268,0.081829587
Q-CTRL,aa62ab44-d7d3-4e61-8408-c76593295f23,28,unavailable,75,ZZ_full,0.348040607,0.10893008,0.352652918,0.004612311
IBM raw,d8vvclopknjs73a1nf4g,19.19657292,usage_estimation.quantum_seconds,100,MX_full,0.436478271,0.000493922,0.688407645,0.251929373
IBM raw,d8vvclopknjs73a1nf4g,19.19657292,usage_estimation.quantum_seconds,100,ZZ_full,0.287520592,0.000530668,0.352795237,0.065274645
IBM TREX + twirling,d900e8propqc738d4t90,40.93880273,usage_estimation.quantum_seconds,100,MX_full,0.453922508,0.000868188,0.688407645,0.234485137
IBM TREX + twirling,d900e8propqc738d4t90,40.93880273,usage_estimation.quantum_seconds,100,ZZ_full,0.255214481,0.000841759,0.352795237,0.097580756
Q-CTRL,29a732de-9d31-4304-86bc-7b5eb67578bf,28,unavailable,100,MX_full,0.572008667,0.081694239,0.688407645,0.116398978
Q-CTRL,29a732de-9d31-4304-86bc-7b5eb67578bf,28,unavailable,100,ZZ_full,0.352140793,0.093967983,0.352795237,0.000654444
IBM raw,d902n1emvj5c73eimnj0,19.19657292,usage_estimation.quantum_seconds,125,MX_full,0.383210449,0.000447223,0.687702624,0.304492175
IBM raw,d902n1emvj5c73eimnj0,19.19657292,usage_estimation.quantum_seconds,125,ZZ_full,0.228710544,0.000480727,0.35288017,0.124169626
IBM TREX + twirling,d903vd1ropqc738da780,40.93880273,usage_estimation.quantum_seconds,125,MX_full,0.373848987,0.001107442,0.687702624,0.313853637
IBM TREX + twirling,d903vd1ropqc738da780,40.93880273,usage_estimation.quantum_seconds,125,ZZ_full,0.216900514,0.000791832,0.35288017,0.135979655
Q-CTRL,e3c41fb7-3dd8-4648-ba29-035cd66270ec,28,unavailable,125,MX_full,0.527215332,0.075145328,0.687702624,0.160487292
Q-CTRL,e3c41fb7-3dd8-4648-ba29-035cd66270ec,28,unavailable,125,ZZ_full,0.315796391,0.084647324,0.35288017,0.037083779
