provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error,closeness_to_ideal_percent
IBM raw,d8vmvpemvj5c73ei5140,19.19657292,usage_estimation.quantum_seconds,25,MX_full,0.457648926,0.00096728,0.698982958,0.241334033,87.93329835
IBM raw,d8vmvpemvj5c73ei5140,19.19657292,usage_estimation.quantum_seconds,25,ZZ_full,0.324445089,0.001064817,0.351478783,0.027033694,98.64831530000001
IBM TREX + twirling,d8vnrm6mvj5c73ei6jt0,40.93880273,usage_estimation.quantum_seconds,25,MX_full,0.527484007,0.00147052,0.698982958,0.171498952,91.4250524
IBM TREX + twirling,d8vnrm6mvj5c73ei6jt0,40.93880273,usage_estimation.quantum_seconds,25,ZZ_full,0.288771305,0.001802246,0.351478783,0.062707478,96.8646261
Q-CTRL,3a92da7c-e583-4ab4-a207-7ef261f91961,28.0,unavailable,25,MX_full,0.62442627,0.156086282,0.698982958,0.074556689,96.27216555
Q-CTRL,3a92da7c-e583-4ab4-a207-7ef261f91961,28.0,unavailable,25,ZZ_full,0.344289144,0.191569954,0.351478783,0.007189639,99.64051805
IBM raw,d8vq2qo6c68s73ah66f0,19.19657292,usage_estimation.quantum_seconds,50,MX_full,0.499257813,0.00067398,0.691932749,0.192674937,90.36625314999999
IBM raw,d8vq2qo6c68s73ah66f0,19.19657292,usage_estimation.quantum_seconds,50,ZZ_full,0.31101149,0.000748398,0.352365375,0.041353885,97.93230575
IBM TREX + twirling,d8vr5ggpknjs73a1h7og,40.93880273,usage_estimation.quantum_seconds,50,MX_full,0.493656865,0.001059297,0.691932749,0.198275884,90.0862058
IBM TREX + twirling,d8vr5ggpknjs73a1h7og,40.93880273,usage_estimation.quantum_seconds,50,ZZ_full,0.273558047,0.001239519,0.352365375,0.078807328,96.05963360000001
Q-CTRL,98a979a2-53bc-4c47-8dcb-3068c66a7d5f,28.0,unavailable,50,MX_full,0.616296387,0.111284373,0.691932749,0.075636363,96.21818185
Q-CTRL,98a979a2-53bc-4c47-8dcb-3068c66a7d5f,28.0,unavailable,50,ZZ_full,0.346925074,0.133913986,0.352365375,0.005440301,99.72798495
IBM raw,d8vtd406c68s73ahb2fg,19.19657292,usage_estimation.quantum_seconds,75,MX_full,0.466359049,0.000562219,0.68958268,0.22322363,88.83881849999999
IBM raw,d8vtd406c68s73ahb2fg,19.19657292,usage_estimation.quantum_seconds,75,ZZ_full,0.301261283,0.000611624,0.352652918,0.051391634,97.4304183
IBM TREX + twirling,d8vtocopknjs73a1l2og,40.93880273,usage_estimation.quantum_seconds,75,MX_full,0.470264974,0.00091205,0.68958268,0.219317706,89.0341147
IBM TREX + twirling,d8vtocopknjs73a1l2og,40.93880273,usage_estimation.quantum_seconds,75,ZZ_full,0.262852855,0.000894482,0.352652918,0.089800062,95.5099969
Q-CTRL,aa62ab44-d7d3-4e61-8408-c76593295f23,28.0,unavailable,75,MX_full,0.607753092,0.09161175,0.68958268,0.081829587,95.90852065
Q-CTRL,aa62ab44-d7d3-4e61-8408-c76593295f23,28.0,unavailable,75,ZZ_full,0.348040607,0.10893008,0.352652918,0.004612311,99.76938445
IBM raw,d8vvclopknjs73a1nf4g,19.19657292,usage_estimation.quantum_seconds,100,MX_full,0.436478271,0.000493922,0.688407645,0.251929373,87.40353135
IBM raw,d8vvclopknjs73a1nf4g,19.19657292,usage_estimation.quantum_seconds,100,ZZ_full,0.287520592,0.000530668,0.352795237,0.065274645,96.73626775000001
IBM TREX + twirling,d900e8propqc738d4t90,40.93880273,usage_estimation.quantum_seconds,100,MX_full,0.453922508,0.000868188,0.688407645,0.234485137,88.27574315
IBM TREX + twirling,d900e8propqc738d4t90,40.93880273,usage_estimation.quantum_seconds,100,ZZ_full,0.255214481,0.000841759,0.352795237,0.097580756,95.12096220000001
Q-CTRL,29a732de-9d31-4304-86bc-7b5eb67578bf,28.0,unavailable,100,MX_full,0.572008667,0.081694239,0.688407645,0.116398978,94.1800511
Q-CTRL,29a732de-9d31-4304-86bc-7b5eb67578bf,28.0,unavailable,100,ZZ_full,0.352140793,0.093967983,0.352795237,0.000654444,99.9672778
IBM raw,d902n1emvj5c73eimnj0,19.19657292,usage_estimation.quantum_seconds,125,MX_full,0.383210449,0.000447223,0.687702624,0.304492175,84.77539125
IBM raw,d902n1emvj5c73eimnj0,19.19657292,usage_estimation.quantum_seconds,125,ZZ_full,0.228710544,0.000480727,0.35288017,0.124169626,93.7915187
IBM TREX + twirling,d903vd1ropqc738da780,40.93880273,usage_estimation.quantum_seconds,125,MX_full,0.373848987,0.001107442,0.687702624,0.313853637,84.30731815
IBM TREX + twirling,d903vd1ropqc738da780,40.93880273,usage_estimation.quantum_seconds,125,ZZ_full,0.216900514,0.000791832,0.35288017,0.135979655,93.20101724999999
Q-CTRL,e3c41fb7-3dd8-4648-ba29-035cd66270ec,28.0,unavailable,125,MX_full,0.527215332,0.075145328,0.687702624,0.160487292,91.9756354
Q-CTRL,e3c41fb7-3dd8-4648-ba29-035cd66270ec,28.0,unavailable,125,ZZ_full,0.315796391,0.084647324,0.35288017,0.037083779,98.14581104999999
