provider,n,job_id,qpu_seconds,qpu_time_source,mean_expectation_value,mean_std,mean_absolute_error,max_absolute_error
IBM TREX + twirling,25,d8vnrm6mvj5c73ei6jt0,40.938802727,usage_estimation.quantum_seconds,0.2728900835366113,0.0021253733905866,0.07887378929566373,0.1714989516720566
IBM TREX + twirling,50,d8vr5ggpknjs73a1h7og,40.938802727,usage_estimation.quantum_seconds,0.2568396004624502,0.0013973279336970334,0.0934623673427956,0.1982758844742536
IBM TREX + twirling,75,d8vtocopknjs73a1l2og,40.938802727,usage_estimation.quantum_seconds,0.244634484783281,0.0011543111498729334,0.10330113118464897,0.219317706047063
IBM TREX + twirling,100,d900e8propqc738d4t90,40.938802727,usage_estimation.quantum_seconds,0.23654086829060458,0.0010428453657696667,0.1108505027325672,0.2344851369726628
IBM TREX + twirling,125,d903vd1ropqc738da780,40.938802727,usage_estimation.quantum_seconds,0.19677266770611446,0.0011312164773161666,0.15008826360177116,0.3138536366911174
IBM raw,25,d8vmvpemvj5c73ei5140,19.196572924,usage_estimation.quantum_seconds,0.20933732774522573,0.0010397614581402334,0.14081658619742074,0.2413340327173426
IBM raw,50,d8vq2qo6c68s73ah66f0,19.196572924,usage_estimation.quantum_seconds,0.26343449391475343,0.0007333672315978333,0.08466488084601936,0.192674936844697
IBM raw,75,d8vtd406c68s73ahb2fg,19.196572924,usage_estimation.quantum_seconds,0.23894446204016515,0.0006026037537908333,0.10846740389073327,0.2232236301483798
IBM raw,100,d8vvclopknjs73a1nf4g,19.196572924,usage_estimation.quantum_seconds,0.2335515823107377,0.0005245507692768666,0.11351604512525236,0.2519293732840246
IBM raw,125,d902n1emvj5c73eimnj0,19.196572924,usage_estimation.quantum_seconds,0.19505423072076608,0.00047282765505799997,0.15180670058711956,0.3044921746346091
Q-CTRL,25,3a92da7c-e583-4ab4-a207-7ef261f91961,,unavailable,0.2938117133246528,0.18160718558518904,0.05634220061799363,0.0872802737520929
Q-CTRL,50,98a979a2-53bc-4c47-8dcb-3068c66a7d5f,,unavailable,0.3189449139030613,0.12831992880301293,0.029154460857711534,0.075636362625947
Q-CTRL,75,aa62ab44-d7d3-4e61-8408-c76593295f23,,unavailable,0.3027512742234422,0.10500964600191587,0.04466059170745617,0.0818295871796297
Q-CTRL,100,29a732de-9d31-4304-86bc-7b5eb67578bf,,unavailable,0.27783416234282926,0.09136962929779861,0.06923346509316074,0.1163989777762124
Q-CTRL,125,e3c41fb7-3dd8-4648-ba29-035cd66270ec,,unavailable,0.24667920053133405,0.08261736213676503,0.10018173077655161,0.1604872918221088
