n,provider,mean_absolute_error,max_absolute_error,mean_std,qpu_seconds
25,IBM TREX + twirling,0.117103215,0.171498952,0.001636383,40.93880273
25,IBM raw,0.134183864,0.241334033,0.001016049,19.19657292
25,Q-CTRL,0.040873164,0.074556689,0.173828118,28
50,IBM TREX + twirling,0.138541606,0.198275884,0.001149408,40.93880273
50,IBM raw,0.117014411,0.192674937,0.000711189,19.19657292
50,Q-CTRL,0.040538332,0.075636363,0.122599179,28
75,IBM TREX + twirling,0.154558884,0.219317706,0.000903266,40.93880273
75,IBM raw,0.137307632,0.22322363,0.000586921,19.19657292
75,Q-CTRL,0.043220949,0.081829587,0.100270915,28
100,IBM TREX + twirling,0.166032946,0.234485137,0.000854974,40.93880273
100,IBM raw,0.158602009,0.251929373,0.000512295,19.19657292
100,Q-CTRL,0.058526711,0.116398978,0.087831111,28
125,IBM TREX + twirling,0.224916646,0.313853637,0.000949637,40.93880273
125,IBM raw,0.2143309,0.304492175,0.000463975,19.19657292
125,Q-CTRL,0.098785535,0.160487292,0.079896326,28
