n,provider,mean_absolute_error,max_absolute_error,mean_std,qpu_seconds,mean_closeness_to_ideal_percent,worst_case_closeness_to_ideal_percent
25,IBM TREX + twirling,0.117103215,0.171498952,0.001636383,40.93880273,94.14483925,91.4250524
25,IBM raw,0.134183864,0.241334033,0.001016049,19.19657292,93.2908068,87.93329835
25,Q-CTRL,0.040873164,0.074556689,0.173828118,28.0,97.9563418,96.27216555
50,IBM TREX + twirling,0.138541606,0.198275884,0.001149408,40.93880273,93.0729197,90.0862058
50,IBM raw,0.117014411,0.192674937,0.000711189,19.19657292,94.14927945,90.36625314999999
50,Q-CTRL,0.040538332,0.075636363,0.122599179,28.0,97.97308340000001,96.21818185
75,IBM TREX + twirling,0.154558884,0.219317706,0.000903266,40.93880273,92.2720558,89.0341147
75,IBM raw,0.137307632,0.22322363,0.000586921,19.19657292,93.13461840000001,88.83881849999999
75,Q-CTRL,0.043220949,0.081829587,0.100270915,28.0,97.83895255,95.90852065
100,IBM TREX + twirling,0.166032946,0.234485137,0.000854974,40.93880273,91.6983527,88.27574315
100,IBM raw,0.158602009,0.251929373,0.000512295,19.19657292,92.06989955,87.40353135
100,Q-CTRL,0.058526711,0.116398978,0.087831111,28.0,97.07366445,94.1800511
125,IBM TREX + twirling,0.224916646,0.313853637,0.000949637,40.93880273,88.7541677,84.30731815
125,IBM raw,0.2143309,0.304492175,0.000463975,19.19657292,89.283455,84.77539125
125,Q-CTRL,0.098785535,0.160487292,0.079896326,28.0,95.06072325,91.9756354
