provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error
IBM raw,d91h10j57qjs73b6bfng,17.823485916,usage_estimation.quantum_seconds,25,MZ_full,-0.08702880859374999,0.001090354829931741,-4.915492407675051e-12,0.0870288085888345
IBM raw,d91h10j57qjs73b6bfng,17.823485916,usage_estimation.quantum_seconds,25,MX_full,0.49277587890624996,0.0009497973024271513,0.6606342123916248,0.16785833348537482
IBM raw,d91h10j57qjs73b6bfng,17.823485916,usage_estimation.quantum_seconds,25,ZZ_full,0.39186096191406244,0.0010305798544390492,0.38867673990097795,0.0031842220130844923
IBM TREX + twirling,d91i5fnccmks73d56rbg,28.0,metrics.usage.quantum_seconds,25,MZ_full,-8.263425754826792e-07,0.0028692715936564114,-4.915492407675051e-12,8.263376599902715e-07
IBM TREX + twirling,d91i5fnccmks73d56rbg,28.0,metrics.usage.quantum_seconds,25,MX_full,0.5668679193953043,0.0017330966408231434,0.6606342123916248,0.09376629299632044
IBM TREX + twirling,d91i5fnccmks73d56rbg,28.0,metrics.usage.quantum_seconds,25,ZZ_full,0.34055560097332327,0.0019154266888657871,0.38867673990097795,0.04812113892765468
Q-CTRL,2fd27b98-4cda-4fdb-b34a-392b568b25d9,,unavailable,25,MZ_full,-0.055651855468750004,0.19933151259641982,-4.915492407675051e-12,0.05565185546383451
Q-CTRL,2fd27b98-4cda-4fdb-b34a-392b568b25d9,,unavailable,25,MX_full,0.6262841796874999,0.155716157397468,0.6606342123916248,0.034350032704124844
Q-CTRL,2fd27b98-4cda-4fdb-b34a-392b568b25d9,,unavailable,25,ZZ_full,0.3672434488932292,0.189762780928816,0.38867673990097795,0.021433291007748767
QESEM,923a7c33-5eea-476b-9794-41da3a5aa471,,unavailable,25,MZ_full,-0.0021080784479892054,0.0033411336799834563,-4.915492407675051e-12,0.002108078443073713
QESEM,923a7c33-5eea-476b-9794-41da3a5aa471,,unavailable,25,MX_full,0.6798873971037742,0.021302826779070926,0.6606342123916248,0.01925318471214943
QESEM,923a7c33-5eea-476b-9794-41da3a5aa471,,unavailable,25,ZZ_full,0.39597036092015203,0.017828111438881897,0.38867673990097795,0.007293621019174079
IBM raw,d91irt7qq29s738np1i0,17.823485916,usage_estimation.quantum_seconds,50,MZ_full,-0.045404052734375006,0.0007774994764769717,-5.722604653508278e-12,0.0454040527286524
IBM raw,d91irt7qq29s738np1i0,17.823485916,usage_estimation.quantum_seconds,50,MX_full,0.506153564453125,0.0006692251364276755,0.6519780529730487,0.1458244885199237
IBM raw,d91irt7qq29s738np1i0,17.823485916,usage_estimation.quantum_seconds,50,ZZ_full,0.3724290497448979,0.0007291090361691273,0.39098873788963656,0.018559688144738684
IBM TREX + twirling,d91issr57qjs73b6et40,37.82629553,usage_estimation.quantum_seconds,50,MZ_full,-0.004392776739610277,0.0019546704172607892,-5.722604653508278e-12,0.004392776733887672
IBM TREX + twirling,d91issr57qjs73b6et40,37.82629553,usage_estimation.quantum_seconds,50,MX_full,0.5559541884145827,0.0011070785187883366,0.6519780529730487,0.09602386455846601
IBM TREX + twirling,d91issr57qjs73b6et40,37.82629553,usage_estimation.quantum_seconds,50,ZZ_full,0.33471083631869386,0.0012756516285820844,0.39098873788963656,0.0562779015709427
Q-CTRL,16ea48d1-d9d6-403d-b399-adccc7d42997,,unavailable,50,MZ_full,0.0004333496093749976,0.14096991972310072,-5.722604653508278e-12,0.0004333496150976022
Q-CTRL,16ea48d1-d9d6-403d-b399-adccc7d42997,,unavailable,50,MX_full,0.61008544921875,0.11194086387027125,0.6519780529730487,0.04189260375429871
Q-CTRL,16ea48d1-d9d6-403d-b399-adccc7d42997,,unavailable,50,ZZ_full,0.37449552574936223,0.13241256180675107,0.39098873788963656,0.016493212140274327
QESEM,4b80b737-f982-4d36-ae9e-cc01ad870cb6,,unavailable,50,MZ_full,0.0038972274332762756,0.002543199080936335,-5.722604653508278e-12,0.0038972274389988803
QESEM,4b80b737-f982-4d36-ae9e-cc01ad870cb6,,unavailable,50,MX_full,0.6148756152876904,0.017168526700796414,0.6519780529730487,0.03710243768535826
QESEM,4b80b737-f982-4d36-ae9e-cc01ad870cb6,,unavailable,50,ZZ_full,0.40459546470248137,0.01329459430968203,0.39098873788963656,0.013606726812844805
IBM raw,d9213luu9n7c73aniku0,17.823485916,usage_estimation.quantum_seconds,75,MZ_full,-0.044278157552083336,0.0006322821725047767,-5.905500770600981e-12,0.04427815754617784
IBM raw,d9213luu9n7c73aniku0,17.823485916,usage_estimation.quantum_seconds,75,MX_full,0.5176993815104167,0.0005421994065011521,0.6490926664990976,0.13139328498868086
IBM raw,d9213luu9n7c73aniku0,17.823485916,usage_estimation.quantum_seconds,75,ZZ_full,0.3289283546241554,0.0006051499935918292,0.3917385750764316,0.06281022045227624
IBM TREX + twirling,d921d3vqq29s738ohgqg,37.82629553,usage_estimation.quantum_seconds,75,MZ_full,-0.0010616066303710682,0.0019932033864519133,-5.905500770600981e-12,0.0010616066244655675
IBM TREX + twirling,d921d3vqq29s738ohgqg,37.82629553,usage_estimation.quantum_seconds,75,MX_full,0.53109113988939,0.0010080862465117672,0.6490926664990976,0.11800152660970753
IBM TREX + twirling,d921d3vqq29s738ohgqg,37.82629553,usage_estimation.quantum_seconds,75,ZZ_full,0.3198962780875322,0.0009741886047906908,0.3917385750764316,0.07184229698889943
Q-CTRL,2414fb86-2f60-4d78-bfbb-a36c78d26914,,unavailable,75,MZ_full,0.00674072265625,0.11480745845884609,-5.905500770600981e-12,0.006740722662155501
Q-CTRL,2414fb86-2f60-4d78-bfbb-a36c78d26914,,unavailable,75,MX_full,0.6126652018229167,0.09115612629855277,0.6490926664990976,0.036427464676180854
Q-CTRL,2414fb86-2f60-4d78-bfbb-a36c78d26914,,unavailable,75,ZZ_full,0.37141542176942566,0.10789741790385773,0.3917385750764316,0.02032315330700596
QESEM,2a3f7475-37b2-4dbc-a3ec-01391a4c0c25,,unavailable,75,MZ_full,0.00551782741114898,0.003911221686157325,-5.905500770600981e-12,0.005517827417054481
QESEM,2a3f7475-37b2-4dbc-a3ec-01391a4c0c25,,unavailable,75,MX_full,0.6219760047484113,0.02574503543147151,0.6490926664990976,0.027116661750686277
QESEM,2a3f7475-37b2-4dbc-a3ec-01391a4c0c25,,unavailable,75,ZZ_full,0.3834355733549661,0.02160111775594691,0.3917385750764316,0.00830300172146553
