provider,job_id,qpu_seconds,qpu_time_source,n,observable,expectation_value,std,ideal,absolute_error,closeness_to_ideal_percent
IBM raw,d91h10j57qjs73b6bfng,17.82348592,usage_estimation.quantum_seconds,25,MX_full,0.492775879,0.000949797,0.660634212,0.167858333,91.60708335
IBM raw,d91h10j57qjs73b6bfng,17.82348592,usage_estimation.quantum_seconds,25,ZZ_full,0.391860962,0.00103058,0.38867674,0.003184222,99.84078889999999
IBM TREX + twirling,d91i5fnccmks73d56rbg,28.0,metrics.usage.quantum_seconds,25,MX_full,0.566867919,0.001733097,0.660634212,0.093766293,95.31168534999999
IBM TREX + twirling,d91i5fnccmks73d56rbg,28.0,metrics.usage.quantum_seconds,25,ZZ_full,0.340555601,0.001915427,0.38867674,0.048121139,97.59394305
Q-CTRL,2fd27b98-4cda-4fdb-b34a-392b568b25d9,28.0,unavailable,25,MX_full,0.62628418,0.155716157,0.660634212,0.034350033,98.28249835
Q-CTRL,2fd27b98-4cda-4fdb-b34a-392b568b25d9,28.0,unavailable,25,ZZ_full,0.367243449,0.189762781,0.38867674,0.021433291,98.92833545
QESEM,923a7c33-5eea-476b-9794-41da3a5aa471,271.0,unavailable,25,MX_full,0.679887397,0.021302827,0.660634212,0.019253185,99.03734075
QESEM,923a7c33-5eea-476b-9794-41da3a5aa471,271.0,unavailable,25,ZZ_full,0.395970361,0.017828111,0.38867674,0.007293621,99.63531895
IBM raw,d91irt7qq29s738np1i0,17.82348592,usage_estimation.quantum_seconds,50,MX_full,0.506153564,0.000669225,0.651978053,0.145824489,92.70877555
IBM raw,d91irt7qq29s738np1i0,17.82348592,usage_estimation.quantum_seconds,50,ZZ_full,0.37242905,0.000729109,0.390988738,0.018559688,99.0720156
IBM TREX + twirling,d91issr57qjs73b6et40,37.82629553,usage_estimation.quantum_seconds,50,MX_full,0.555954188,0.001107079,0.651978053,0.096023865,95.19880675
IBM TREX + twirling,d91issr57qjs73b6et40,37.82629553,usage_estimation.quantum_seconds,50,ZZ_full,0.334710836,0.001275652,0.390988738,0.056277902,97.1861049
Q-CTRL,16ea48d1-d9d6-403d-b399-adccc7d42997,28.0,unavailable,50,MX_full,0.610085449,0.111940864,0.651978053,0.041892604,97.9053698
Q-CTRL,16ea48d1-d9d6-403d-b399-adccc7d42997,28.0,unavailable,50,ZZ_full,0.374495526,0.132412562,0.390988738,0.016493212,99.1753394
QESEM,4b80b737-f982-4d36-ae9e-cc01ad870cb6,311.0,unavailable,50,MX_full,0.614875615,0.017168527,0.651978053,0.037102438,98.1448781
QESEM,4b80b737-f982-4d36-ae9e-cc01ad870cb6,311.0,unavailable,50,ZZ_full,0.404595465,0.013294594,0.390988738,0.013606727,99.31966365
IBM raw,d9213luu9n7c73aniku0,17.82348592,usage_estimation.quantum_seconds,75,MX_full,0.517699382,0.000542199,0.649092666,0.131393285,93.43033575
IBM raw,d9213luu9n7c73aniku0,17.82348592,usage_estimation.quantum_seconds,75,ZZ_full,0.328928355,0.00060515,0.391738575,0.06281022,96.859489
IBM TREX + twirling,d921d3vqq29s738ohgqg,37.82629553,usage_estimation.quantum_seconds,75,MX_full,0.53109114,0.001008086,0.649092666,0.118001527,94.09992365
IBM TREX + twirling,d921d3vqq29s738ohgqg,37.82629553,usage_estimation.quantum_seconds,75,ZZ_full,0.319896278,0.000974189,0.391738575,0.071842297,96.40788515
Q-CTRL,2414fb86-2f60-4d78-bfbb-a36c78d26914,28.0,unavailable,75,MX_full,0.612665202,0.091156126,0.649092666,0.036427465,98.17862674999999
Q-CTRL,2414fb86-2f60-4d78-bfbb-a36c78d26914,28.0,unavailable,75,ZZ_full,0.371415422,0.107897418,0.391738575,0.020323153,98.98384234999999
QESEM,2a3f7475-37b2-4dbc-a3ec-01391a4c0c25,211.0,unavailable,75,MX_full,0.621976005,0.025745035,0.649092666,0.027116662,98.6441669
QESEM,2a3f7475-37b2-4dbc-a3ec-01391a4c0c25,211.0,unavailable,75,ZZ_full,0.383435573,0.021601118,0.391738575,0.008303002,99.58484990000001
