provider,n,job_id,qpu_seconds,qpu_time_source,mean_expectation_value,mean_std,mean_absolute_error,max_absolute_error
IBM TREX + twirling,25,d91i5fnccmks73d56rbg,28.0,metrics.usage.quantum_seconds,0.3024742313420174,0.0021725983077817332,0.04729608608721166,0.0937662929963204
IBM TREX + twirling,50,d91issr57qjs73b6et40,37.82629553,usage_estimation.quantum_seconds,0.2954240826645554,0.0014458001882103333,0.052231514287765436,0.096023864558466
IBM TREX + twirling,75,d921d3vqq29s738ohgqg,37.82629553,usage_estimation.quantum_seconds,0.28330860378218375,0.0013251594125847333,0.0636351434076908,0.1180015266097075
IBM raw,25,d91h10j57qjs73b6bfng,17.823485916,usage_estimation.quantum_seconds,0.2658693440755208,0.0010235773289326,0.0860237880290979,0.1678583334853748
IBM raw,50,d91irt7qq29s738np1i0,17.823485916,usage_estimation.quantum_seconds,0.2777261871545493,0.0007252778830245332,0.06992940979777156,0.1458244885199237
IBM raw,75,d9213luu9n7c73aniku0,17.823485916,usage_estimation.quantum_seconds,0.2674498595274963,0.0005932105241992,0.07949388766237826,0.1313932849886808
Q-CTRL,25,2fd27b98-4cda-4fdb-b34a-392b568b25d9,,unavailable,0.312625257703993,0.18160348364090126,0.037145059725236,0.0556518554638345
Q-CTRL,50,16ea48d1-d9d6-403d-b399-adccc7d42997,,unavailable,0.3283381081924957,0.1284411151333743,0.01960638850322353,0.0418926037542987
Q-CTRL,75,2414fb86-2f60-4d78-bfbb-a36c78d26914,,unavailable,0.3302737820828641,0.10462033422041879,0.02116378021511407,0.0364274646761808
QESEM,25,923a7c33-5eea-476b-9794-41da3a5aa471,,unavailable,0.3579165598586456,0.014157357299312034,0.009551628058132366,0.0192531847121494
QESEM,50,4b80b737-f982-4d36-ae9e-cc01ad870cb6,,unavailable,0.34112276914114936,0.011002106697138234,0.018202130645733932,0.0371024376853582
QESEM,75,2a3f7475-37b2-4dbc-a3ec-01391a4c0c25,,unavailable,0.33697646850484214,0.017085791624525233,0.013645830296402034,0.0271166617506862
