n,provider,mean_absolute_error,max_absolute_error,mean_std,qpu_seconds
25,IBM TREX + twirling,0.070943716,0.093766293,0.001824262,28
25,IBM raw,0.085521278,0.167858333,0.000990189,17.82348592
25,Q-CTRL,0.027891662,0.034350033,0.172739469,28
25,QESEM,0.013273403,0.019253185,0.019565469,271
50,IBM TREX + twirling,0.076150883,0.096023865,0.001191365,37.82629553
50,IBM raw,0.082192088,0.145824489,0.000699167,17.82348592
50,Q-CTRL,0.029192908,0.041892604,0.122176713,28
50,QESEM,0.025354582,0.037102438,0.015231561,311
75,IBM TREX + twirling,0.094921912,0.118001527,0.000991137,37.82629553
75,IBM raw,0.097101753,0.131393285,0.000573675,17.82348592
75,Q-CTRL,0.028375309,0.036427465,0.099526772,28
75,QESEM,0.017709832,0.027116662,0.023673077,211
