n,provider,mean_absolute_error,max_absolute_error,mean_std,qpu_seconds,mean_closeness_to_ideal_percent,worst_case_closeness_to_ideal_percent
25,IBM TREX + twirling,0.070943716,0.093766293,0.001824262,28.0,96.4528142,95.31168534999999
25,IBM raw,0.085521278,0.167858333,0.000990189,17.82348592,95.72393609999999,91.60708335
25,Q-CTRL,0.027891662,0.034350033,0.172739469,28.0,98.6054169,98.28249835
25,QESEM,0.013273403,0.019253185,0.019565469,271.0,99.33632985,99.03734075
50,IBM TREX + twirling,0.076150883,0.096023865,0.001191365,37.82629553,96.19245585,95.19880675
50,IBM raw,0.082192088,0.145824489,0.000699167,17.82348592,95.8903956,92.70877555
50,Q-CTRL,0.029192908,0.041892604,0.122176713,28.0,98.5403546,97.9053698
50,QESEM,0.025354582,0.037102438,0.015231561,311.0,98.7322709,98.1448781
75,IBM TREX + twirling,0.094921912,0.118001527,0.000991137,37.82629553,95.2539044,94.09992365
75,IBM raw,0.097101753,0.131393285,0.000573675,17.82348592,95.14491235,93.43033575
75,Q-CTRL,0.028375309,0.036427465,0.099526772,28.0,98.58123454999999,98.17862674999999
75,QESEM,0.017709832,0.027116662,0.023673077,211.0,99.1145084,98.6441669
